,TIME_PERIOD,Sector,OBS_VALUE
672,2005,Tourism policy and administrative management,0.200281
673,2005,Trade policies and regulations,0.087078
674,2005,Trade policy and administrative management,0.087078
675,2005,Transport and storage,155.130079
676,2005,Transport policy and administrative management,3.001124
677,2005,Tuberculosis control,5.509081
678,2005,Unallocated / unspecified,34.490514
679,2005,Upper secondary education,0.049682
680,2005,Urban development and management,0.386163
681,2005,Vocational training,9.751805
682,2005,Waste management/disposal,0.447248
683,2005,Water resources conservation (including data collection),0.505441
684,2005,Water sector policy and administrative management,5.882265
685,2005,Water supply & sanitation,31.905736
686,2005,Water supply and sanitation - large systems,13.847184
687,2005,Wind energy,0.121798
688,2005,"Women's rights organisations and movements, and government institutions",4.825431
689,2006,Action relating to debt,5250.035021
690,2006,Administrative costs (non-sector allocable),4.834038
691,2006,Administrative costs of donors,4.834038
692,2006,Advanced technical and managerial training,0.342244
693,2006,Agricultural development,26.507125
694,2006,Agricultural education/training,0.320515
695,2006,Agricultural extension,4.591841
696,2006,Agricultural financial services,0.106193
697,2006,Agricultural inputs,4.040331
698,2006,Agricultural land resources,7.92105
699,2006,Agricultural policy and administrative management,4.72179
700,2006,Agricultural research,3.095933
701,2006,Agricultural services,3.061248
702,2006,Agricultural water resources,5.847641
703,2006,Agriculture,70.595332
704,2006,"Agriculture, forestry, fishing",72.654695
705,2006,Agro-industries,0.082586
706,2006,All sectors,7362.97
707,2006,Banking and financial services,6.348918
708,2006,Basic drinking water supply and basic sanitation,19.709918
709,2006,Basic education,104.786467
710,2006,Basic health,196.000078
711,2006,Basic health care,36.928378
712,2006,Basic health infrastructure,2.154975
